Ind,Longitude,Latitude
QBW201,-86.6929,33.34699
QBW202,-86.6936,33.34684
QBW203,-86.6736,33.37889
QBW204,-86.6733,33.37877
QBW205,-86.6737,33.37844
QBW206,-86.6738,33.37833
QBW207,-86.6742,33.37783
QBW208,-86.6747,33.37715
QBW209,-86.6749,33.37704
QBW210,-86.6743,33.37723
QBW211,-86.6731,33.3797
QBW212,-86.7574,33.3023
QBW213,-86.7576,33.30232
QBW214,-86.7574,33.30239
QBW215,-86.7584,33.30402
QBW216,-86.7581,33.30416
QBW217,-86.7574,33.30414
QBW218,-86.7558,33.30587
QBW219,-86.7557,33.30589
QBW220,-86.7556,33.30592
QBW221,-86.7555,33.30595
QBW222,-86.7553,33.30605
QBW223,-86.7553,33.30611
QBW224,-86.7558,33.30593
QBW225,-86.756,33.30603
QBW226,-86.7561,33.30609
QBW227,-86.7563,33.30596
QBW228,-86.7538,33.30277
QBW229,-86.7561,33.30589
QBW230,-86.7538,33.30282
QBW231,-86.7538,33.30293
QBW232,-86.7538,33.30299
QBW233,-86.7536,33.3031
QBW234,-86.7534,33.30307
QBW235,-86.7533,33.3033
QBW236,-86.7528,33.30369
QBW237,-86.7526,33.30389
QBW238,-86.7526,33.30369
QBW239,-86.7524,33.30376
QBW240,-86.7648,33.30429
QBW241,-86.765,33.30384
QBW242,-86.27454101,33.92819398
QBW243,-86.27454101,33.92819398
QBW244,-86.27454101,33.92819398
QBW245,-86.27454101,33.92819398
QBW246,-86.27454101,33.92819398
