"","Ind","Longitude","Latitude"
"1","QAc-W-0001",-94.059579,34.386295
"42","QAc-W-0042",-93.652557,35.171192
"113","QAc-W-0113",-94.37327,35.073043
"167","QAc-W-0167",-94.217431,36.031431
