Ind,Longitude,Latitude
QAc-W-0001,-94.059579,34.386295
QAc-W-0002,-94.059931,34.386268
QAc-W-0003,-94.060836,34.386238
QAc-W-0004,-94.060836,34.386238
QAc-W-0005,-94.060904,34.386255
QAc-W-0006,-94.060922,34.386243
QAc-W-0007,-94.060871,34.386351
QAc-W-0008,-94.060871,34.386376
QAc-W-0009,-94.061682,34.386076
QAc-W-0010,-94.064493,34.386348
QAc-W-0011,-94.064493,34.386348
QAc-W-0012,-94.064436,34.386375
QAc-W-0013,-94.064441,34.386301
QAc-W-0014,-94.064292,34.386334
QAc-W-0015,-94.064209,34.38637
QAc-W-0016,-94.064206,34.38632
QAc-W-0017,-94.064098,34.386366
QAc-W-0018,-94.063909,34.386301
QAc-W-0019,-94.063827,34.386336
QAc-W-0020,-94.063834,34.386175
QAc-W-0021,-94.063694,34.386208
QAc-W-0022,-94.063549,34.386329
QAc-W-0023,-94.063277,34.386592
QAc-W-0024,-94.063141,34.386733
QAc-W-0025,-94.06292,34.386651
QAc-W-0026,-94.062636,34.386525
QAc-W-0027,-94.062355,34.386443
QAc-W-0028,-94.062209,34.386343
QAc-W-0029,-94.062078,34.386354
QAc-W-0030,-94.062014,34.38619
QAc-W-0031,-94.062198,34.386144
QAc-W-0032,-94.06234,34.386083
QAc-W-0033,-94.062511,34.386097
QAc-W-0034,-94.062667,34.386097
QAc-W-0035,-94.062773,34.386088
QAc-W-0036,-94.062902,34.385937
QAc-W-0037,-94.0629,34.385857
QAc-W-0038,-94.063009,34.385961
QAc-W-0039,-94.06332,34.386022
QAc-W-0040,-94.062961,34.386329
QAc-W-0041,-94.06128,34.386102
QAc-W-0042,-93.652557,35.171192
QAc-W-0043,-93.652666,35.171206
QAc-W-0044,-93.652707,35.171138
QAc-W-0045,-93.652659,35.171127
QAc-W-0046,-93.6527,35.171321
QAc-W-0047,-93.652799,35.171176
QAc-W-0048,-93.65284,35.171147
QAc-W-0049,-93.65284,35.171147
QAc-W-0050,-93.653687,35.171653
QAc-W-0051,-93.655547,35.171154
QAc-W-0052,-93.655605,35.171133
QAc-W-0053,-93.655687,35.171184
QAc-W-0054,-93.655962,35.171337
QAc-W-0055,-93.655947,35.171406
QAc-W-0056,-93.656043,35.171519
QAc-W-0057,-93.655945,35.171572
QAc-W-0058,-93.65576,35.171623
QAc-W-0059,-93.652965,35.171076
QAc-W-0060,-93.666787,35.166999
QAc-W-0061,-93.666545,35.167104
QAc-W-0062,-93.666372,35.167155
QAc-W-0063,-93.666261,35.167014
QAc-W-0064,-93.666462,35.166792
QAc-W-0065,-93.666162,35.166969
QAc-W-0066,-93.666103,35.16719
QAc-W-0067,-93.665784,35.167183
QAc-W-0068,-93.665782,35.167235
QAc-W-0069,-93.665721,35.167275
QAc-W-0070,-93.665519,35.167212
QAc-W-0071,-93.665622,35.167775
QAc-W-0072,-93.665462,35.167838
QAc-W-0073,-93.666006,35.167904
QAc-W-0074,-93.666083,35.167728
QAc-W-0075,-93.66616,35.167679
QAc-W-0076,-93.666237,35.167621
QAc-W-0077,-93.666366,35.167505
QAc-W-0078,-93.871354,34.361186
QAc-W-0079,-93.871564,34.361124
QAc-W-0080,-93.871564,34.361124
QAc-W-0081,-93.871778,34.361156
QAc-W-0082,-93.871794,34.361166
QAc-W-0083,-93.871829,34.361094
QAc-W-0084,-93.871887,34.361082
QAc-W-0085,-93.871934,34.361107
QAc-W-0086,-93.872001,34.361115
QAc-W-0087,-93.87206,34.361087
QAc-W-0088,-93.872157,34.361127
QAc-W-0089,-93.872168,34.361124
QAc-W-0090,-93.872334,34.361184
QAc-W-0091,-93.872814,34.361256
QAc-W-0092,-93.873153,34.361151
QAc-W-0093,-93.87357,34.361182
QAc-W-0094,-93.872559,34.361176
QAc-W-0095,-93.872559,34.361176
QAc-W-0096,-93.872573,34.361299
QAc-W-0097,-93.872497,34.361187
QAc-W-0098,-93.872154,34.361207
QAc-W-0099,-93.872048,34.361166
QAc-W-0100,-93.87207,34.361154
QAc-W-0101,-93.871964,34.361215
QAc-W-0102,-93.871964,34.361215
QAc-W-0103,-93.871964,34.361215
QAc-W-0104,-93.871938,34.361198
QAc-W-0105,-93.871771,34.361256
QAc-W-0106,-93.871771,34.361256
QAc-W-0107,-93.87157,34.361127
QAc-W-0108,-93.871473,34.361223
QAc-W-0109,-93.871981,34.36109
QAc-W-0110,-93.871842,34.361325
QAc-W-0111,-93.871819,34.36134
QAc-W-0112,-93.165335,35.232486
QAc-W-0113,-94.37327,35.073043
QAc-W-0114,-94.373168,35.072995
QAc-W-0115,-94.373079,35.072819
QAc-W-0116,-94.373103,35.072738
QAc-W-0117,-94.372773,35.072397
QAc-W-0118,-94.372789,35.072641
QAc-W-0119,-94.37245,35.072733
QAc-W-0120,-94.372182,35.073096
QAc-W-0121,-94.371927,35.073191
QAc-W-0122,-94.37231,35.072225
QAc-W-0123,-94.372201,35.072356
QAc-W-0124,-94.372063,35.072567
QAc-W-0125,-94.371806,35.072837
QAc-W-0126,-94.371635,35.073183
QAc-W-0127,-94.371754,35.073414
QAc-W-0128,-94.37158,35.073704
QAc-W-0129,-94.371624,35.073947
QAc-W-0130,-94.371591,35.074364
QAc-W-0131,-94.371704,35.074594
QAc-W-0132,-94.371868,35.074312
QAc-W-0133,-94.372131,35.074042
QAc-W-0134,-94.3725,35.073968
QAc-W-0135,-94.373094,35.074348
QAc-W-0136,-94.372919,35.073969
QAc-W-0137,-94.372819,35.073892
QAc-W-0138,-94.372819,35.073892
QAc-W-0139,-94.372868,35.073852
QAc-W-0140,-94.372928,35.07385
QAc-W-0141,-94.373009,35.073899
QAc-W-0142,-94.373086,35.073984
QAc-W-0143,-94.373275,35.073832
QAc-W-0144,-94.373362,35.073823
QAc-W-0145,-94.37345,35.073817
QAc-W-0146,-94.373629,35.073763
QAc-W-0147,-94.374003,35.073835
QAc-W-0148,-94.373696,35.07333
QAc-W-0149,-94.37362,35.073358
QAc-W-0150,-94.373369,35.073322
QAc-W-0151,-94.373378,35.073329
QAc-W-0152,-94.3732,35.073233
QAc-W-0153,-94.372781,35.073179
QAc-W-0154,-94.372559,35.0732
QAc-W-0155,-94.372378,35.073302
QAc-W-0156,-94.372234,35.073444
QAc-W-0157,-94.372132,35.073476
QAc-W-0158,-94.371994,35.07359
QAc-W-0159,-94.371978,35.073724
QAc-W-0160,-94.372087,35.073809
QAc-W-0161,-94.372346,35.073695
QAc-W-0162,-94.372556,35.073734
QAc-W-0163,-94.372771,35.073579
QAc-W-0164,-94.372987,35.073629
QAc-W-0165,-94.373161,35.073532
QAc-W-0166,-94.373268,35.073537
QAc-W-0167,-94.217431,36.031431
QAc-W-0168,-94.217554,36.031398
QAc-W-0169,-94.217554,36.031435
QAc-W-0170,-94.217562,36.031467
QAc-W-0171,-94.217404,36.03141
QAc-W-0172,-94.217582,36.031359
QAc-W-0173,-94.217672,36.031104
QAc-W-0174,-94.217622,36.030935
