"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"QUAC",163.048,79.283,112.986,71.467,11.718,38.709,0,0,0
"QUAR",166.421,75.978,104.451,65.497,24.885,27.165,0,0,0
"QUAU",172.245,83.117,122.621,78.469,10.021,32.934,0,0,0
"QUBO",170.672,80.631,116.521,74.069,15.645,14.002,0,0,0
"QUCA",187.539,87.655,134.725,86.198,13.345,46.372,0,0,0
"QUCE",193.108,88.248,136.543,89.259,15.472,19.677,0,0,0
"QUEN",194.545,84.36,125.182,85.941,24.19,20.082,0,0,0
"QUGE",171.288,83.146,122.415,77.088,9.222,31.665,0,0,0
"QUGR",135.46,69.965,92.809,51.642,13.593,21.412,0,0,0
"QUHA",189.286,86.054,130.944,85.554,17.533,13.932,0,0,0
"QUHI",161.272,80.111,117.015,71.91,6.259,43.471,0,0,0
"QUOG",159.764,76.851,106.509,64.597,17.721,25.703,0,0,0
"QUPA",199.998,100.097,176.009,99.204,0.657,3.835,0,0,0
"QUTO",198.492,91.863,151.115,97.816,8.716,16.086,0,0,0
