Source,Longitude,Latitude
iDigBio,-103.285,29.26703
iDigBio,-103.28507,29.26699
iDigBio,-103.28502,29.26705
iDigBio,-103.31581,29.2467
iDigBio,-103.28508,29.26707
iDigBio,-103.2804,29.26949
iDigBio,-103.28514,29.2669
iDigBio,-103.55472,27.4325
