Species,Longitude,Latitude
Quercus hinckleyi,-103.795699,29.411759
Quercus hinckleyi,-103.674378,29.416477
Quercus hinckleyi,-103.707063,29.434652
Quercus hinckleyi,-103.745531,29.443123
Quercus hinckleyi,-103.696939,29.443444
Quercus hinckleyi,-103.85833,29.45833
Quercus hinckleyi,-103.84498,29.47175
Quercus hinckleyi,-103.747222,29.479167
Quercus hinckleyi,-103.74722,29.47917
Quercus hinckleyi,-103.74722,29.47917
Quercus hinckleyi,-103.829458,29.488337
Quercus hinckleyi,-103.627993,29.515559
Quercus hinckleyi,-103.781179,29.520172
Quercus hinckleyi,-103.762673,29.529501
Quercus hinckleyi,-103.678402,29.537525
Quercus hinckleyi,-103.631275,29.537725
Quercus hinckleyi,-103.699788,29.538824
Quercus hinckleyi,-103.84087,29.547279
Quercus hinckleyi,-103.634125,29.559358
Quercus hinckleyi,-103.654807,29.560675
Quercus hinckleyi,-103.7694,29.56346
Quercus hinckleyi,-103.61322,29.576295
Quercus hinckleyi,-103.742177,29.579892
Quercus hinckleyi,-103.717288,29.582796
Quercus hinckleyi,-103.635156,29.590425
Quercus hinckleyi,-103.748078,29.597732
Quercus hinckleyi,-103.924486,29.598829
Quercus hinckleyi,-104.3,29.71667
Quercus hinckleyi,-104.31201,29.81076
Quercus hinckleyi,-104.34165,29.81527
Quercus hinckleyi,-104.34158,29.8153
Quercus hinckleyi,-104.34087,29.81557
Quercus hinckleyi C. H. Müll.,-104.25,29.9167
Quercus hinckleyi C. H. Müll.,-99.170653,31.391533
Quercus hinckleyi C.H.Müll.,-103.7472,29.4792
Quercus hinckleyi C.H.Müll.,-103.846296,29.479993
Quercus hinckleyi C.H.Müll.,-104.305903,29.820394
Quercus hinckleyi C.H.Mull.,-103.747222,29.479167
