"","QUAC","QUBO","QUGE","QUHA","QUHI","QUOG","QUPA"
"Mean_Fst",0.0931,0.0453,0.0858,0.155,0.0668,0.106,0.0233
"Min_Fst",0.0714,-0.0282,0.0389,0.155,0.0668,0.0301,0.016
"Max_Fst",0.12,0.147,0.188,0.155,0.0668,0.216,0.0272
